Type of Infrastructure,Project Name,County/City,State,Form of Benefit,Year Built,"Developers, Owners, and/or Operators",Number of Turbines,Generating Capacity (Megawatts),Additional Form,Details,Sources,Created at,Updated at
Land-based wind energy project,Banner Peak,Nome Census Area,Alaska,Other,2008,Nome Joint Utility Systems / Alaska Energy Authority,18,2.8,,- The Bering Straits Native Corporation Board of Directors passed a resolution requiring that 50% of all their profits from the Banner Peak wind project be reinvested in renewable energy projects in the 17 villages of the Bering Straits Region. ,https://www.akenergyauthority.org/Portals/0/Programs/Wind/Case%20Studies/BannerPeakWindFarmExpansion2016.pdf?ver=2019-06-19-133903-640,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Chevelon Butte I & II,"Coconino County, Navajo County",Arizona,Donation/support to local cause,2023,AES,106,454.0,,"- AES has supported local organizations and events, including the Willow Bend Environmental Education Center (with a goal of improving curriculum for K-12 renewable energy programs), A Taste of Winslow, and the Winslow Library.",https://www.aes.com/chevelon-butte,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Perrin Ranch,Coconino County,Arizona,Donation/support to local cause,2012,NextEra Energy Resources,62,99.0,,"- Perrin Ranch Wind donated $500,000 to High Country Fire-Rescue for land, planning, engineering, and construction of a fire station near the wind project site. The station was constructed in 2013; prior to this, High Country-Fire Rescue had no fire station.",https://www.williamsnews.com/news/grand-canyon-news/new-fire-station-nears-completion-on-highway-64-will-serve-as-far-as-valle/article_f6d7c3db-4bb1-5214-afc7-a3a11c304407.html,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Offshore wind energy project,CADEMO,Federal waters,California,Formal agreement,Not yet built,Floventis Energy,4,60.0,,"- In 2023, CADEMO and the Santa Ynez Band of Chumash Indians signed a community benefit agreement for the proposed CADEMO floating offshore wind energy project being developed by Floventis Energy. The agreement includes Tribal consultation in state and federal environmental reviews, support for a Traditional Cultural Landscape Study to be conducted by the Tribe, and the Tribe gaining naming rights for the project. The agreement also creates a new nonprofit research institute that will be established and operated by the Tribe; the institute will develop Tribal oceanographic expertise and best practice for environmental comanagement of ocean and coastal resources and the proposed Chumash Heritage National Marine Sanctuary. Additionally, CADEMO and the Tribe will collaborate with the Tri-Counties Building and Construction Trades Council and California community colleges to develop education and training programs for topics like Tribal collaborative management of offshore resources, environmental reviews, and offshore wind technician training.",https://www.ciercoenergy.com/uncategorised/cademo-and-santa-ynez-chumash/,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Hatchet Ridge,Shasta County,California,Fund,2010,Pattern Energy,44,101.0,,"- The Hatchet Ridge Wind Community Benefits Program invests $5 million in the local community through the Shasta County General Fund, the Burney-Fall River Education Foundation, and the Burney Regional Community Fund administered by the Community Foundation of the North State. The Burney Regional Community Fund was established to address the needs within the communities of the Greater Burney Region, and to build a community of philanthropists in the region now and forever. The fund was established with a gift of $500,000 from Pattern Energy.","https://patternenergy.com/projects/hatchet-ridge-wind/, https://cfnorthstate.org/donations/burney-regional-community-fund/, https://cfnorthstate.org/grants/burney-regional-community-fund/",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Mountain View Power Partners Repower,Riverside County,California,Non-financial,2022,AES,16,66.7,,- AES donated 248 acres of land within the Whitewater Floodplain Conservation area to the Coachella Valley Conservation Commission. ,https://www.facebook.com/events/httpszoomusj92961922509/aes-mountain-view-wind-repower-project-community-workshop/799899463936073/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Ocotillo,Imperial County,California,Fund,2012,Pattern Energy,112,265.0,,"- Ocotillo has committed $3 million dollars to address the region’s challenges, needs, and opportunities through three separate endowment funds; the funds have a core goal of improving the quality of life in Imperial Valley. The three funds – the Ocotillo Wind Community Fund, the Ocotillo Wind Education Fund, and the Ocotillo Wind Imperial Valley Fund – have all been established with initial gifts of $500,000 consisting of a $475,000 endowment and a $25,000 contribution earmarked for inaugural grant cycles. The remaining $1.5 million of Ocotillo's commitment will be gifted equally and annually to the Program’s funds, ensuring that for the next twenty years, there will be at least $25,000 for grant opportunities per year to support local organizations and causes from each fund. The Imperial Valley Community Foundation administers grant processes for the Ocotillo Wind Education Fund and Ocotillo Wind Imperial Valley Fund, whereas an advisory committee of Ocotillo and No Mirage residents guides the implementation of the Ocotillo Wind Community Fund.","https://patternenergy.com/projects/ocotillo-wind/, http://www.ivcommunityfoundation.org/funds-&-programs/ocotillo-wind-community-benefits-program/",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Rising Tree ,Kern County,California,Donation/support to local cause,"2014, 2015",EDP Renewables,60,198.0,,"- In 2020, in response to the COVID-19 pandemic, EDP Renewables donated $8,000 to Community Action Partnership of Kern on behalf of Rising Tree Wind Farm.",https://www.altenergymag.com/news/2020/08/11/rising-tree-wind-farm-celebrates-american-wind-week-and-five-years-of-clean-energy-operations/33618/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Tule Wind Project,San Diego County,California,Donation/support to local cause,2018,Avangrid,57,186.0,,"- In 2018, Avangrid made two donations, each close to $100,000, to the Mountain Empire Unified School District and Mountain Health and Community Services.",https://www.sandiegouniontribune.com/business/energy-green/sd-fi-tule-donations-20180406-story.html,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Bronco Plains,Kit Carson County,Colorado,Donation/support to local cause,2020,NextEra Energy Resources,108,299.0,,"- NextEra Energy Resources has sponsored community organizations and events, including the Colorado Wind and Solar Forum, Repowering Schools, Flagler County Schools, Colorado Governor's Relief Fund, junior/senior 4H, and Burlington Cougar Club.",https://www.theheraldtimes.com/wp-content/uploads/2023/05/NextEra-White-River-Valley-Solar-Project-FAQ25304367.8-002.pdf,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Cedar Creek,Weld County,Colorado,Donation/support to local cause,2007,Leeward Renewable Energy,274,301.0,Non-financial,"- Leeward Renewable Energy has supported the annual Earl Anderson Memorial PRCA Rodeo on behalf of its three wind projects in Weld County - Cedar Creek, Mountain Breeze, and Panorama Wind. This includes a donation and volunteering at the event.",https://www.linkedin.com/posts/leeward-renewable-energy_lreimpact-windenergy-activity-7087088377082068992-HFv3/?trk=public_profile_like_view,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Mountain Breeze,Weld County,Colorado,Donation/support to local cause,2020,Leeward Renewable Energy,62,171.0,,"- Leeward Renewable Energy has supported the annual Earl Anderson Memorial PRCA Rodeo on behalf of its three wind projects in Weld County - Cedar Creek, Mountain Breeze, and Panorama Wind. This includes a donation and volunteering at the event.",https://www.linkedin.com/posts/leeward-renewable-energy_lreimpact-windenergy-activity-7087088377082068992-HFv3/?trk=public_profile_like_view,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Niyol,Logan County,Colorado,Donation/support to local cause,2021,NextEra Energy Resources,74,206.0,," - NextEra Energy Resources has supported community organizations and events, including donation of Christmas food baskets for farming families in need, Colorado Young Farmers Foundation, Sterling Community Gala, Sterling Community Foundation, donatios for support during severe weather, Washington County Connections, Logan County 4H Club County Fair Livestock Auction, High Plains 4H Club, sponsoring the Building Splash Pad for the Town of Fleming, Fleming School Wildcat Booster Club's Post Prom event, and the Northeastern Junior College's Solar Living Lab.

 - NextEra contributed $80,000 to the Fleming Fire Department to upgrade the department’s equipment.","https://www.theheraldtimes.com/wp-content/uploads/2023/05/NextEra-White-River-Valley-Solar-Project-FAQ25304367.8-002.pdf, https://www.journal-advocate.com/2020/06/16/logan-county-gives-nexteras-niyol-wind-farm-green-light/",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Panorama,Weld County,Colorado,Donation/support to local cause,2022,Leeward Renewable Energy,66,145.0,Non-financial,"- Leeward Renewable Energy has supported the annual Earl Anderson Memorial PRCA Rodeo on behalf of its three wind projects in Weld County - Cedar Creek, Mountain Breeze, and Panorama Wind. This includes a donation and volunteering at the event.",https://www.linkedin.com/posts/leeward-renewable-energy_lreimpact-windenergy-activity-7087088377082068992-HFv3/?trk=public_profile_like_view,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Spring Canyon,Logan County,Colorado,Donation/support to local cause,2006,Invenergy / NRG Energy,40,60.0,,"- In 2022, Spring Canyon donated to Plateau School’s Bulldog Benchwarmers, an organization that benefits students, teachers, and staff at Peetz’s local pre-K to 12 school. The organization is run by parents, teachers, and community members to support events such as school spirit nights and field trips.",https://invenergyimpact2022.com/uploads/downloads/Invenergy-Impact-Report-2022.pdf,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Offshore wind energy port,State Pier,New London,Connecticut,Formal agreement,2023,Ørsted / Eversource / Connecticut Port Authority,0,0.0,,"- Through a host community agreement with North East Offshore, the city of New London will receive $7.5 million over 10 years, with potential increases or decreases in this amount depending on how the port is used. The agreement includes a $750,000 annual payment for 10 years, with potential increases of $250,000 to $1 million in later years depending on use of State Pier. Payments can also increase up to $1.5 million annually based on state wind energy procurements. However, payments can also decrease to $250,000 annually if State Pier is subleased. State Pier is a state-owned tax exempt property  in the city of New London.",https://insideinvestigator.org/wp-content/uploads/2022/04/2021-02_NewLondon-Host-Community-Agreement.pdf,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Auwahi Wind,Maui County,Hawaii,Donation/support to local cause,2012,AEP,8,21.0,,"- In April 2020, AEP provided a $10,000 grant to the Maui Food Bank to help the organization address food insecurity and the heightened demand for assistance due to the COVID-19 pandemic.

- The project’s landowner, `Ulupalakua Ranch, provides the Auwahi Forest Restoration Project with an annual donation based on a fixed percentage of revenues generated by the Auwahi Wind Farm.

- Auwahi Wind donated $5,000 to a fundraising concert after a wildfire on the island in 2018.","https://www.aep.com/news/stories/read/5594/AEP-Renewables-Gives-Back-to-Communities-During-the-Pandemic, https://www.mauinews.com/news/community-news/2020/07/grants-53/, https://www.auwahi.org/past-supporters-of-auwahi, https://www.mauinews.com/news/local-news/2019/01/gifts-to-help-rebuild-homes-lives/",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Kaheawa 1,Maui County,Hawaii,Fund,2006,First Wind / Terraform Power ,20,30.0,,"- Kaheawa Wind 1 has committed to $10,000 per megawatt per year in community benefit funding, totaling $300,000 annually. Kaheawa Wind 1 will conduct public consultation and outreach in order to collaborate with the community on design of a new community benefits program, which will be carried out with local nonprofit partners. The community benefits program will begin in 2027. The wind project's commitments come after Hawaiian Electric (utility purchasing power from the wind project) established a $3,000/MW/year minimum spending recommendation for community benefits.",https://www.kaheawawind.com/wp-content/uploads/KaheawaWind1_OutreachPlan_Dec23.pdf,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Kawailoa Wind,Honolulu County,Hawaii,Fund,2012,First Wind / Terraform Power ,30,69.0,,"- Kawailowa Wind has a scholarship fund established with the Hawaii Community Foundation, which provides annual scholarships to students graduating from Waialua High School; preference is given to applicants planning to study math, science, engineering, or other renewable energy/sustainability-related studies.",https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?lang=en&curPage=1&sortcolumns=AwardName&sortdirections=ASC&studyLevelfilter=Bachelor~J~s%20Degree&georestrictionfilter=Pennsylvania&scholarshipId=9995720,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Nā Pua Makani,Honolulu County,Hawaii,Donation/support to local cause,2020,AES,8,24.0,,"- AES made a one-time contribution of $2.5 million, plus up to $1.5 million in additional matching funds towards long-standing community needs, based on community input; this included up to a total of $210,000 for North Shore schools and nonprofits ahead of the project’s commercial operation. Community initiatives receiving funds included: COVID-19 relief, education, sports, and culture and the arts. 

- AES committed to an $80,000 annual contribution to the North Shore Hometown Opportunities, Inc., and a $20,000 annual contribution to the Lā‘ie Community Association for the term of the project, understanding that these organizations will use these funds to address community needs and improve quality of life for the residents, including supporting the elementary and high schools.

- In 2019, Turtle Bay Foundation and AES Hawai'i partnered together to donate $40,000 for the installation of air conditioners in 23 portable classrooms at Kahuku High School. ","https://www.aes-hawaii.com/na-pua-makani, https://ejatlas.org/conflict/na-pua-makani-wind-project, https://lifeoftheland.org/compensation-for-hosting-renewable-energy-facilities-infrastructure/, https://www.turtlebayfoundation.org/wp-content/uploads/2019/12/kahuku-ac-donation.pdf",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Alta Farms,"Clinton County, DeWitt County",Illinois,Donation/support to local cause,2023,Enel Green Power,50,200.0,Non-financial,"- Enel has sponsored education initiatives as well as COVID-19 relief projects with local partners, including The Vault Community Center, Clinton Education Association and Clinton Community Educational Foundation. 

- Enel's support of local education initiatives has been through Clinton USD #15, providing STEM resources and renewable energy education programs.

- Enel has donated $15,225 in toys, basic necessities and cash to several local community programs.",https://www.enelgreenpower.com/our-projects/operating/alta-farms-wind-farm,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Big Sky,"Bureau County, Lee County",Illinois,Donation/support to local cause,2011,Edison Mission Group / Vitol,114,240.0,,"- In 2021, Big Sky Wind donated $10,000 to Bureau County United Way, supporting a fundraising campaign.",https://www.shawlocal.com/bureau-county-republican/news/local/2021/05/18/bureau-county-united-way-smashes-goal-with-last-minute-donation/,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Bishop Hill 1 & 2,Henry County,Illinois,Donation/support to local cause,2012,Invenergy,183,292.0,Non-financial,"- In 2012, Invenergy provided a total of $500,000 to three Bishop Hill groups: the Village of Bishop Hill, Bishop Hill Arts Council and Bishop Hill Heritage Association. The organizations split the money evenly, with each getting $166,666. Funds were used to support projects such as a village welcome center, water system survey, sidewalk project, and historic building restoration. 

- In 2017, 2018, and 2019, technicians from Bishop Hill I helped construct playground equipment and a basketball hoop at an area elementary school. 

- In 2023, Brookfield Renewables donated $5,000 to the Henry County Economic Development Partnership as an economic development grant to support the county in maintaining a full time economic development director. ","https://www.geneseorepublic.com/story/business/2012/02/17/bishop-hill-groups-split-500k/63589959007/, https://assets.contentstack.io/v3/assets/blt73251bb1f13bbb9d/blt493d33c24771dd16/63f395b9dad5213ba3483e3d/Invenergy_2019_Impact_Report.pdf",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Bishop Hill 3,Henry County,Illinois,Donation/support to local cause,2018,Invenergy,53,132.0,,"- In 2018, when construction of Bishop Hill 3 was completed, Invenergy provided two $5,000 donations to the Clover and Andover-Osco fire departments. ",https://qconline.com/news/local/invenergy-celebrates-phase-3-of-bishop-hill-wind-farm/article_5debe17a-0339-5fd7-a902-988abaf98ddb.html,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Blackstone (Top Crop) I & II,"LaSalle County, Grundy County",Illinois,Donation/support to local cause,2009-2010,EDP Renewables,200,300.0,,"- EDP Renewables staff helped start the Dwight Farm to School program, which provides healthy food to students by teaching them how to maintain a school vegetable garden. The wind farm continues to donate $1,000 annually to keep the program going.",https://www.edpr.com/north-america/news/top-crop-wind-farm-celebrates-10th-anniversary-grundy-lasalle-counties,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Camp Grove,"Stark County, Marshall County",Illinois,Fund,2007,Orion Renewable Energy Group,100,150.0,,"- Stark and Marshall county high school students have received $80,000 in college scholarship funding from the wind project.",https://www.galesburg.com/story/news/politics/county/2018/10/10/seeking-answers-in-wind/9587508007/,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Cardinal Point,"McDonough County, Warren County",Illinois,Donation/support to local cause,2020,Capital Power,60,150.0,,"- Cardinal Point has supported community organizations and events, including Macomb/McDonough County Out of the Darkness Walk, Warren County Prime Beef Festival, Monmouth Police Department Shop with a Cop, Good Hope Turkey Trot, Genesis Garden, Jamieson Community Center Inc, Loaves and Fishes Etc., Colchester Labor Day Celebration, and McDonough County Police Department Buddy Program.",https://www.capitalpower.com/operations/cardinal-point-wind/,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,EcoGrove,Stephenson County,Illinois,Fund,2009,ACCIONA Energy,67,100.5,Donation/support to local cause,"- When dedicating the EcoGrove project in 2009, ACCIONA Energy announced it will provide the Lena-Winslow and Warren school districts each with a $5,000 annual scholarship fund presented to high school seniors planning to pursue a secondary education leading to a career contributing to sustainability.

- ACCIONA has donated to school districts near the EcoGrove project for purchases of new technology equipment. 

- In 2009, ACCIONA donated an estimated $6,000 worth of gravel and rock material to help the Lena Community Park District complete a parking lot at a town boat launch. ","https://nawindpower.com/students-benefit-from-accionas-latest-u-s-wind-scholarships, https://sustainablog.org/articles/towering-on-the-horizon-wind-farms-and-energy-independence/, https://www.acciona.com/projects/scholarship-program/?_adin=02021864894, https://nawindpower.com/students-receive-accionas-latest-round-of-wind-scholarships, https://w3.windfair.net/wind-energy/news/6543-usa-acciona-dedicates-100-5-mw-ecogrove-wind-farm, https://www.journalstandard.com/story/news/2009/05/12/giving-something-back-wind-farm/45160521007/, https://www.journalstandard.com/story/news/2009/05/20/school-debates-tax-abatement/45211622007/",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Ford Ridge / Ford County,Ford County,Illinois,Donation/support to local cause,2022,Apex Clean Energy / Ørsted,43,121.0,," - The Apex Conservation Grant Program awarded $125,000 in relation to the Ford County Wind project for the protection, restoration, and enhancement of regional grassland habitat for a variety of species, including game bird species such as the ring-necked pheasant and the bobwhite quail. Through Apex Clean Energy’s Conservation Grant Program, each renewable energy project commercialized by Apex contributes a sum of money, proportional to the size of the project, to support local or regional wildlife conservation, reforestation and flora restoration, protection of sensitive habitats such as grassland or wetlands, and other environmental conservation initiatives in or near project communities.",https://www.apexcleanenergy.com/insight/enhancing-conservation-through-the-energy-transition/,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Grand Ridge,LaSalle County,Illinois,Non-financial,2008,Invenergy,140,210.0,,"- When a tornado impacted the area in 2017, Invenergy staff from the Grand Ridge wind farm participated in clean-up efforts in the city of Ottawa, IL.",https://assets.contentstack.io/v3/assets/blt73251bb1f13bbb9d/bltb9e40f929c460693/63f3960e48dd13348a298bff/InvenergyImpact2017SustainabilityReport.pdf,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Green River,"Lee County, Whiteside County",Illinois,Fund,2019,Geronimo Energy / National Grid Renewables,74,194.0,Donation/support to local cause,"- The Green River Community Fund was established by Geronimo Energy with a total charitable commitment of $775,000 (over the project's lifetime). The first contribution of $38,800 was made to the fund in 2021. A board of directors made up of local residents and landowners participating in the wind project oversees the grant disbursement process. 

- In 2023, Green River Wind donated $5,000 to the Lee County Fair Association  for ongoing continued improvement projects at the fairgrounds.","https://nawindpower.com/illinois-wind-farm-starts-giving-back-to-local-communities, https://nrgmediadixon.com/2023/06/28/112989/",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,GSG Wind,LaSalle County,Illinois,Donation/support to local cause,2007,Leeward Renewable Energy,40,80.0,,"- Since the GSG Wind Farm was constructed, Leeward Renewable Energy has supported local organizations, including the local food bank and little league baseball teams.",https://www.leecountyil.com/DocumentCenter/View/3171/2022-03-21-GSG-Wind-SUP-Application---Submitted,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,HillTopper,Logan County,Illinois,Fund,2018,Enel Green Power / Swift Current Energy,74,185.0,,"- Enel Green Power helped establish a community development in Mount Pulaski with a $250,000 up-front payment and annual payments of $110,000 throughout the project's lifetime. The Mount Pulaski Economic Development and Planning Board was established  to administer community grants from the wind project. The fund has supported various initiatives, including funding for local schools and the creation of a local grocery co-op.","https://www.sj-r.com/story/news/2019/08/12/wind-farm-project-starting-in/4479008007/, https://cityofmtpulaski.com/departments/city-hall/economic-development-and-planning-board, https://www.wandtv.com/news/mt-pulaski-shows-off-wind-farm-windfall/article_5e44c9da-767f-11e9-bafa-530ba9b02c02.html",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Lincoln Land,Morgan County,Illinois,Donation/support to local cause,2021,Apex Clean Energy,107,302.0,Non-financial,"- Apex and Illinois Electric Cooperative partnered to upgrade internet service in rural Morgan County, where Lincoln Land Wind is located. This project will improve broadband speeds for over 250 local subscribers, debunking claims that wind turbines disrupt service.

- As part of the Apex Conservation Grant Program, Lincoln Land awarded $302,000 to Ducks Unlimited for a project that enhances regional habitat for migratory tree-roosting bats. Through Apex Clean Energy’s Conservation Grant Program, each renewable energy project commercialized by Apex contributes a sum of money, proportional to the size of the project, to support local or regional wildlife conservation, reforestation and flora restoration, protection of sensitive habitats such as grassland or wetlands, and other environmental conservation initiatives in or near project communities.","https://www.apexcleanenergy.com/insight/a-new-approach-to-help-close-the-digital-divide/, https://www.apexcleanenergy.com/projects/, https://www.apexcleanenergy.com/insight/enhancing-conservation-through-the-energy-transition/",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Pilot Hill,"Iroquois County, Kankakee County",Illinois,Donation/support to local cause,2015,EDF Renewables,103,175.0,,"- In 2014, EDF Renewables donated $15,000 to local organizations in the area of the Pilot Hill wind project. Central Community Unit School District #4, Herscher Community Unit School District #2, and the Community Foundation of Kankakee River Valley each received a $5,000 donation.",https://kankakeecountyed.org/about-us/news-and-updates/edf-renewable-energy-and-microsoft-corp-break-ground-on-kankakee-countys-pilot-hill-wind-project/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Radford's Run,Macon County,Illinois,Donation/support to local cause,2017,RWE,139,305.8,,"- At the project's dedication in 2018, RWE announced a $50,000 donation to Decatur Memorial Hospital's Cancer Care Institute. The project was originally known as Twin Forks Wind Farm but was renamed in 2017 to honor Mike Radford, a longtime RWE employee who died from cancer.",https://www.rrstar.com/story/news/state/2018/07/15/illinois-wind-farm-gets-official/11520212007/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Sapphire Sky Energy Center,McClean County,Illinois,Donation/support to local cause,2023,Invenergy,64,250.0,Non-financial,"- In 2022, Invenergy sponsored a KidWind Project teacher training for 14 teachers from the Blue Ridge Unified School District and surrounding areas in Illinois. Invenergy also donated funding for teachers to equip their classrooms with gear for their students, along with the option for a stipend for additional gear and lesson planning assistance.",https://invenergy.com/news/power-lines/making-a-difference-together-2022-invenergy-impact-partners,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Whitney Hill,Logan County,Illinois,Fund,2019,Enel Green Power / Swift Current Energy,24,66.0,,"- Enel Green Power has established a community development fund in Mount Pulaski, supporting various local initiatives. Enel made a $250,000 up-front payment and provides $115,000 annually to the fund. These funds have been used for a variety of purposes, including setting up a community-owned grocery co-op, grant programs to assist small businesses with facade improvements and roof work, and an architectural study to revitalize the downtown area.",https://www.sj-r.com/story/news/2019/08/12/wind-farm-project-starting-in/4479008007/,2024-08-01 14:17:01 UTC,2024-08-01 14:17:01 UTC
Land-based wind energy project,Amazon Wind Fowler Ridge,Benton County,Indiana,Donation/support to local cause,2015,Pattern Energy,65,150.0,,"- Pattern Energy partners with the Benton Community Foundation to contribute to local organizations and events, including supporting an emergency services agency, library reading program, historic movie theater, and annual Wind Festival hosted by Benton County.","https://patternenergy.com/projects/amazon-wind-farm-fowler-ridge/, https://patternenergy.com/how-the-fowler-theatre-became-a-community-treasure/",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Bitter Ridge,Jay County,Indiana,Donation/support to local cause,2020,Scout Clean Energy,52,146.0,,- Scout Clean Energy has supported the Jay County Civic Theater.,"https://www.scoutcleanenergy.com/scout-community/, https://www.scoutcleanenergy.com/community/scout-clean-energy-is-a-proud-sponsor-of-the-jay-county-civic-theater/",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Goodland I / Benton County Wind Farm,Benton County,Indiana,Fund,2008,Orion Renewables,87,130.0,,"- Orion Renewables committed to providing $45,000 in scholarships for local high school students over the lifetime of the project. ","https://www.orionrenewables.com/projects, https://www.newsbug.info/wcinews/benton-central-lists-senior-night-awards/article_8031515d-aa7a-5116-8145-93df25fb9615.html",2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Headwaters,Randolph County,Indiana,Fund,2014,EDPR,100,200.0,Donation/support to local cause,"- In 2023, on Global Wind Day, EDPR donated $100,000 to the Randolph community to upgrade the 4-H Fairgrounds' dining room and kitchen.

- In 2019, EDPR pledged $125,000 to the Community Foundation of Randolph County. This donation, part of a 2-1 match for Lilly Endowment’s GIFT VII Matching Grant Program, created the EDP Renewables Charitable Fund to support residents and projects in Randolph County. 

- EDPR has previously supported the Randolph County Promise program, encouraging post-high school education.","https://www.globenewswire.com/en/news-release/2023/06/16/2689774/0/en/EDP-Renewables-Honors-Indiana-Leaders-and-Community-Partners-Donates-100K-at-Global-Wind-Day-Event.html, https://www.randolphcountyfoundation.org/edp-renewables-donates-125k-to-the-community-foundation-of-randolph-county/, https://www.edpr.com/north-america/news/edp-renewables-donates-125k-community-foundation-randolph-county",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Meadow Lake,White County,Indiana,Payment to government outside of an agreement,2009-2018 (multi-phase),EDP Renewables,414,801.0,Donation/support to local cause,"- In 2020, EDP Renewables provided $300,000 total to the Chalmers, Brookston, Reynolds and Wolcott communities; the four towns received $75,000 each to put toward the projects of their choice. The plans for these investments included funding a new fire station in Brookston, a splash pad and repairs to the American Legion building in Chalmers, a new electric sign and lights for the community baseball field in Wolcott, and an electronic marquee sign and upgrades to town facilities in Reynolds. Before making this contribution, EDPR met with leaders and community members from each of the four towns closest to Meadow Lake Wind Farm to listen to their current priorities and learn how to best support their goals.

- EDPR provided a total of $16,000 in COVID-19 relief to the White County Food Pantry, the Good Samaritan Food Pantry, the Honey Creek Volunteer Fire Department, the Chalmers Volunteer Fire Department, the Prairie Township Volunteer Fire Department, the Wolcott Volunteer Fire Department, the Remington Fire Department and the Community Action Program of Western Indiana. ","https://www.globenewswire.com/en/news-release/2020/08/13/2078066/0/en/EDP-Renewables-provides-300k-support-package-to-communities-surrounding-Meadow-Lake-Wind-Farm.html, https://www.renewableenergyworld.com/wind-power/edp-renewables-provides-300k-support-package-to-communities-around-801-mw-wind-farm/#gref, https://www.newsbug.info/monticello_herald_journal/news/local/edp-renewables-meadow-lake-wind-farm-helps-to-fund-new-fire-engine-for-local-fire/article_db7e179c-2b27-11ee-966d-a33c77b9eaaa.html, https://www.edpr.com/north-america/Meadow%20Lake%20Wind%20Farm%20Helps%20to%20Fund%20New%20Fire%20Engine",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Wildcat I,"Tipton County, Madison County",Indiana,Donation/support to local cause,2012,RWE,125,200.0,,"- During the wind farm's opening ceremony in 2014, RWE made donations to various community groups and organizations, including a $5,000 contribution to the City of Elwood for the city pool fund.",https://www.heraldbulletin.com/1010-news-wildcat-wind-farm-ceremony052a-jpg/image_c2f7e6cd-0987-56f6-9e48-a3b22d74813f.html,2024-08-01 14:17:01 UTC,2024-08-01 14:17:01 UTC
